Marque,CarType,FuelType,Gearbox,ManufacturingDate,Engine_l,Power_kW,Mileage_km,Price_euro
Opel Antara, suv / off-road        ,Diesel,Automatic,2007,2.0,110,270000,4200
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2007,2.0,103,181000,4250
Audi A6 ALLROAD, wagon        ,Diesel,Automatic,2007,3.0,171,300000,4250
BMW 530, wagon        ,Diesel,Automatic,2007,3.0,170,270000,4250
Opel Antara, suv / off-road        ,Diesel,Automatic,2008,2.0,110,210000,4300
Mercedes-Benz C220, wagon        ,Diesel,Automatic,2009,2.2,100,235000,4300
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2008,2.0,103,280000,4300
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2008,2.0,103,280000,4300
Seat Ibiza, wagon        ,Diesel,Manual,2015,1.4,66,151000,4300
Seat Exeo, wagon        ,Diesel,Manual,2010,2.0,105,180000,4300
Citroen C5, saloon / sedan        ,Diesel,Automatic,2009,3.0,177,325000,4300
Renault Laguna, saloon / sedan        ,Diesel,Manual,2014,1.5,81,223392,4300
Toyota Auris, hatchback        ,Petrol,Manual,2008,1.4,71,82300,4349
Volvo XC90, suv / off-road        ,Diesel,Automatic,2005,2.4,120,349000,4350
Toyota Verso, mpv / minivan        ,Diesel,Automatic,2010,2.0,110,242500,4350
Toyota RAV4, suv / off-road        ,Diesel,Manual,2007,2.2,130,219000,4399
Audi A6, wagon        ,Diesel,Manual,2007,2.0,103,225200,4400
BMW 118, hatchback        ,Diesel,Manual,2011,2.0,105,300000,4450
Nissan Qashqai, suv / off-road        ,Petrol,Automatic,2009,2.0,104,200000,4450
BMW 120, hatchback        ,Diesel,Manual,2006,2.0,120,209000,4450
Renault Clio, wagon        ,Diesel,Manual,2014,1.5,66,174500,4450
Subaru Outback, wagon        ,Petrol / LPG,Automatic,2007,2.5,121,263281,4490
Hyundai Santa Fe, suv / off-road        ,Diesel,Manual,2007,2.2,111,228262,4499
Ford Grand C-MAX, mpv / minivan        ,Diesel,Manual,2011,1.6,80,140000,4500
Seat Leon, hatchback        ,Diesel,Manual,2012,1.6,66,112998,4500
Mazda 6, saloon / sedan        ,Petrol / LPG,Automatic,2009,2.5,125,146000,4500
BMW 318, saloon / sedan        ,Diesel,Manual,2010,2.0,105,214000,4500
Volvo V70, wagon        ,Diesel,Automatic,2010,2.4,129,275000,4500
Audi A3, hatchback        ,Diesel,Manual,2007,2.0,125,315000,4550
BMW 320, wagon        ,Diesel,Automatic,2008,2.0,130,168000,4550
Peugeot 3008, mpv / minivan        ,Diesel,Manual,2010,1.6,80,235000,4599
Land Rover Freelander, suv / off-road        ,Diesel,Manual,2007,2.2,118,264500,4600
Toyota Verso, mpv / minivan        ,Diesel,Manual,2011,2.0,93,189500,4600
Nissan Qashqai, suv / off-road        ,Diesel,Manual,2010,1.5,78,189000,4600
Audi A4, wagon        ,Diesel,Manual,2009,2.0,105,294000,4650
Volvo V70, wagon        ,Diesel,Automatic,2008,2.4,120,272000,4650
Renault Megane, wagon        ,Diesel,Manual,2015,1.5,81,216500,4666
BMW 320, wagon        ,Diesel,Manual,2008,2.0,130,235000,4690
Opel Insignia, wagon        ,Diesel,Manual,2009,2.0,96,187500,4700
Audi A6, saloon / sedan        ,Diesel,Automatic,2008,2.7,132,257600,4700
Volvo V70, wagon        ,Diesel,Automatic,2007,2.4,120,176325,4700
BMW 525, saloon / sedan        ,Petrol,Automatic,2007,2.5,140,191000,4700
Skoda Octavia, wagon        ,Petrol,Manual,2009,1.6,,190000,4750
BMW 520, wagon        ,Diesel,Manual,2009,2.0,130,299999,4750
Ford S-MAX, mpv / minivan        ,Diesel,Manual,2010,2.2,129,201826,4750
Opel Antara, suv / off-road        ,Diesel,Manual,2009,2.2,110,181776,4752
Mercedes-Benz R320, mpv / minivan        ,Diesel,Automatic,2006,3.0,165,336000,4790
Toyota RAV4, suv / off-road        ,Diesel,Manual,2006,2.2,130,123000,4799
Mercedes-Benz A200, mpv / minivan        ,Diesel,Automatic,2010,2.0,103,176000,4800
Ford Galaxy, mpv / minivan        ,Diesel,Automatic,2008,2.0,96,,4800
Audi A6, wagon        ,Diesel,Automatic,2007,3.0,171,260000,4800
Toyota Avensis, wagon        ,Petrol,Manual,2009,1.8,108,299000,4800
BMW 120, hatchback        ,Diesel,Manual,2008,2.0,105,210000,4800
Volkswagen Golf, hatchback        ,Petrol,Automatic,2009,1.8,118,200972,4850
Ford Transit, pick-up        ,Diesel,Manual,2008,2.2,81,199753,4850
Volkswagen Touran, mpv / minivan        ,Petrol,Manual,2010,1.2,77,181000,4850
Renault Laguna, wagon        ,Diesel,Manual,2015,1.5,81,208556,4850
Audi A3, hatchback        ,Diesel,Manual,2012,2.0,103,221000,4900
BMW 330, saloon / sedan        ,Diesel,Automatic,2008,3.0,145,302236,4900
Volvo V70, wagon        ,Petrol,Manual,2009,2.5,,220000,4900
Volvo XC90, suv / off-road        ,Diesel,Automatic,2005,2.4,136,337000,4900
Toyota Verso, mpv / minivan        ,Diesel,Manual,2011,2.0,93,176900,4900
Mercedes-Benz R320, mpv / minivan        ,Diesel,Automatic,2007,3.0,165,290000,4900
Nissan Qashqai+2, suv / off-road        ,Diesel,Manual,2009,2.0,110,264000,4900
Audi A8, saloon / sedan        ,Diesel,Automatic,2006,3.0,171,30000,4900
BMW 745, saloon / sedan        ,Diesel,Automatic,2006,4.4,243,261726,4900
Renault Grand Scenic, mpv / minivan        ,Petrol,Manual,2011,1.4,96,140000,4950
Ford Grand C-MAX, mpv / minivan        ,Diesel,Automatic,2011,2.0,120,171000,4950
Mazda 5, mpv / minivan        ,Diesel,Manual,2011,1.6,85,177000,4950
Renault Megane, hatchback        ,Diesel,Manual,2014,1.5,81,197222,4955
Toyota Prius, hatchback        ,Petrol / LPG,Automatic,2009,1.8,73,290000,4990
Hyundai Santa Fe, suv / off-road        ,Diesel,Automatic,2007,2.2,114,210470,4999
Mitsubishi Pajero, suv / off-road        ,Diesel,Manual,2000,3.2,118,322000,4999
Nissan Qashqai, suv / off-road        ,Petrol / LPG,Manual,2007,2.0,103,205000,5000
Audi A3, hatchback        ,Diesel,Automatic,2008,2.0,103,239000,5000
BMW 320, wagon        ,Diesel,Manual,2010,2.0,135,208000,5000
Subaru Forester, suv / off-road        ,Petrol / LPG,Automatic,2007,2.5,169,240000,5000
Audi A4, wagon        ,Diesel,Manual,2008,2.0,105,231339,5050
Volkswagen Passat, wagon        ,Diesel,Manual,2011,2.0,103,207000,5050
Citroen Berlingo, commercial        ,Diesel,Manual,2016,1.6,55,166800,5056
Opel Insignia, hatchback        ,Diesel,Manual,2011,2.0,118,205000,5100
Volvo XC70, wagon        ,Petrol,Automatic,2011,3.2,179,118000,5100
Seat Altea XL, mpv / minivan        ,Petrol,Manual,2013,1.2,77,96066,5100
Volkswagen Golf, hatchback        ,Diesel,Manual,2012,1.6,77,157300,5100
Nissan Note, hatchback        ,Diesel,Manual,2016,1.5,63,10390,5100
Mitsubishi Outlander, suv / off-road        ,Diesel,Automatic,2011,2.2,115,241412,5150
Mercedes-Benz R350, mpv / minivan        ,Petrol,Automatic,2006,3.5,200,170000,5150
BMW 530, wagon        ,Diesel,Automatic,2007,3.0,145,250000,5150
Dacia Duster, suv / off-road        ,Petrol,Manual,2014,1.2,92,105000,5200
BMW 750, saloon / sedan        ,Petrol,Automatic,2006,4.8,270,158000,5200
Renault Trafic, mpv / minivan        ,Diesel,Manual,2007,2.0,84,301900,5200
Audi A4, wagon        ,Diesel,Manual,2009,2.0,105,222850,5200
Toyota Avensis, saloon / sedan        ,Diesel,Manual,2011,2.0,93,260000,5200
Seat Ibiza, hatchback        ,Petrol,Manual,2014,1.4,63,116820,5200
Subaru Forester, suv / off-road        ,Petrol / LPG,Automatic,2008,2.0,110,230000,5250
Land Rover Freelander, suv / off-road        ,Diesel,Manual,2007,2.2,110,220000,5250
Opel Insignia, wagon        ,Diesel,Manual,2010,2.0,118,245000,5250
BMW 520, wagon        ,Diesel,Automatic,2009,2.0,130,230000,5300
Peugeot 4007, suv / off-road        ,Diesel,Manual,2011,2.2,115,265608,5330
Ford Focus, wagon        ,Diesel,Manual,2015,1.6,85,170000,5390
Volvo XC90, suv / off-road        ,Diesel,Manual,2005,2.4,120,260000,5400
Jeep Grand Cherokee, suv / off-road        ,Diesel,Automatic,2006,3.0,160,281500,5400
Skoda Rapid, hatchback        ,Diesel,Automatic,2013,1.6,66,170100,5460
Volkswagen Touareg, suv / off-road        ,Diesel,Automatic,2008,2.5,128,199836,5499
Volkswagen Crafter, commercial        ,Diesel,Manual,2009,2.5,120,380000,5500
Volvo V60, wagon        ,Diesel,Manual,2013,1.6,84,220000,5500
Audi A6 ALLROAD, wagon        ,Diesel,Automatic,2006,3.0,171,244465,5500
Audi A6 ALLROAD, wagon        ,Diesel,Automatic,2006,3.0,171,244465,5500
BMW 530, wagon        ,Diesel,Automatic,2006,3.0,170,,5550
Audi TT, coupe        ,Petrol,Automatic,2007,2.0,147,150000,5600
Audi A3, hatchback        ,Diesel,Automatic,2011,2.0,103,235000,5600
BMW 118, convertible        ,Diesel,Automatic,2011,2.0,105,142000,5650
Volvo S80, saloon / sedan        ,Diesel,Manual,2010,1.6,80,163400,5700
Volkswagen Tiguan, wagon        ,Diesel,Automatic,2008,2.0,103,316000,5750
Volvo V70, wagon        ,Diesel,Manual,2009,2.4,151,215000,5790
Volkswagen Touareg, suv / off-road        ,Diesel,Automatic,2007,3.0,177,320000,5799
Toyota Prius, mpv / minivan        ,Petrol / electricity,Automatic,2008,1.5,55,188630,5800
Volvo XC70, wagon        ,Diesel,Automatic,2008,2.4,136,3600,5800
BMW X5, suv / off-road        ,Diesel,Automatic,2005,3.0,160,275000,5850
Mercedes-Benz C320, wagon        ,Diesel,Automatic,2008,3.0,165,265000,5850
Mercedes-Benz C320, wagon        ,Diesel,Automatic,2008,3.0,165,265000,5850
Suzuki SX4 S-Cross, mpv / minivan        ,Diesel,Manual,2015,1.6,88,210513,5900
Skoda Yeti, mpv / minivan        ,Petrol,Manual,2011,1.8,118,111000,5900
Peugeot 508, wagon        ,Diesel,Manual,2012,2.0,100,263654,5909
Toyota Auris, hatchback        ,Petrol,Manual,2010,1.6,,88000,5950
Volvo XC90, suv / off-road        ,Diesel,Automatic,2007,2.4,136,280000,5990
Volvo V60, wagon        ,Diesel,Manual,2011,1.6,85,241000,5990
Volkswagen Transporter, mpv / minivan        ,Diesel,Manual,2005,1.9,77,348000,5999
Audi A4, wagon        ,Petrol,Manual,2009,2.0,132,207341,5999
Volvo XC90, suv / off-road        ,Diesel,Manual,2007,2.4,136,260000,5999
Volkswagen Touran, mpv / minivan        ,Petrol,Automatic,2012,1.4,103,225000,5999
Volvo S80, saloon / sedan        ,Diesel,Automatic,2010,2.0,120,369000,6000
Volkswagen Multivan, passenger vans        ,Diesel,Manual,2000,2.5,111,,6000
Hyundai Santa Fe, suv / off-road        ,Diesel,Manual,2010,2.2,114,191000,6000
Audi A4, wagon        ,Diesel,Manual,2010,2.7,140,285328,6100
Volkswagen Passat CC, saloon / sedan        ,Diesel,Automatic,2010,2.0,103,359000,6100
Dacia Lodgy, other        ,Diesel,Manual,2017,1.5,66,122000,6100
Toyota Auris, hatchback        ,Petrol / electricity,Automatic,2010,1.8,,235000,6150
Opel Corsa, hatchback        ,Petrol,Manual,2017,1.4,51,34000,6150
Volvo V70, wagon        ,Diesel,Automatic,2010,2.4,129,271384,6170
Mercedes-Benz E200, saloon / sedan        ,Diesel,Automatic,2009,2.1,100,425000,6200
Kia Sorento, suv / off-road        ,Diesel,Manual,2010,2.2,145,210989,6200
Opel Vivaro, wagon        ,Diesel,Manual,2008,2.0,84,297772,6200
Renault Trafic, mpv / minivan        ,Diesel,Automatic,2009,2.0,84,254585,6200
Renault Clio, hatchback        ,Petrol,Manual,2018,1.2,54,27000,6200
BMW X3, suv / off-road        ,Diesel,Automatic,2006,3.0,160,292032,6250
Mercedes-Benz B180, mpv / minivan        ,Diesel,Automatic,2016,1.5,80,150500,6250
Mercedes-Benz C200, saloon / sedan        ,Diesel,Automatic,2010,2.2,100,212000,6300
Land Rover Range Rover Sport, suv / off-road        ,Diesel,Automatic,2011,3.0,180,230000,6300
Volvo V60, wagon        ,Diesel,Manual,2011,1.6,84,246246,6322
Audi A4, wagon        ,Diesel,Manual,2008,2.0,105,254000,6350
Audi A6, wagon        ,Diesel,Automatic,2010,2.7,140,279234,6350
Volkswagen Passat CC, coupe        ,Diesel,Automatic,2010,2.0,103,217100,6350
BMW 320, wagon        ,Diesel,Manual,2010,2.0,120,208872,6350
Chevrolet Captiva, suv / off-road        ,Diesel,Manual,2011,2.2,135,175255,6405
Opel Antara, suv / off-road        ,Petrol,Automatic,2011,2.4,125,153526,6450
Mercedes-Benz E220, saloon / sedan        ,Diesel,Automatic,2011,2.2,100,,6450
Nissan Pulsar, hatchback        ,Diesel,Manual,2014,1.5,81,,6500
BMW X3, suv / off-road        ,Diesel,Automatic,2007,3.0,210,262171,6550
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2011,2.0,103,239396,6570
Hyundai ix35, suv / off-road        ,Diesel,Manual,2010,2.0,100,187470,6600
Opel Astra, wagon        ,Diesel,Manual,2016,1.6,81,224500,6600
Renault Trafic, passenger vans        ,Diesel,Manual,2007,2.5,107,280000,6600
Citroen C4 Aircross, suv / off-road        ,Diesel,Manual,2012,1.6,84,176000,6600
Audi A6, wagon        ,Diesel,Automatic,2010,2.7,140,216380,6600
Skoda Superb, wagon        ,Diesel,Automatic,2011,2.0,125,258420,6600
Volkswagen Passat, wagon        ,Diesel,Manual,2011,2.0,103,180400,6600
Opel Vivaro, passenger vans        ,Diesel,Manual,2012,2.0,84,259000,6650
Mercedes-Benz C320, saloon / sedan        ,Diesel,Automatic,2009,3.0,165,235300,6690
Skoda Superb, wagon        ,Diesel,Automatic,2012,2.0,125,292000,6699
Audi A4, saloon / sedan        ,Petrol,Manual,2011,1.8,118,122000,6700
Volkswagen Multivan, passenger vans        ,Diesel,Manual,2004,2.5,96,312310,6700
Volvo XC90, mpv / minivan        ,Diesel,Automatic,2007,2.4,136,231000,6700
Mercedes-Benz E250, wagon        ,Diesel,Automatic,2010,2.2,150,250000,6700
Opel Zafira tourer, mpv / minivan        ,Diesel,Manual,2016,1.6,100,200000,6700
Mercedes-Benz Sprinter, commercial        ,Diesel,Manual,2004,2.2,80,316000,6700
Ford S-MAX, mpv / minivan        ,Petrol,Manual,2012,1.6,118,218855,6700
Volkswagen Passat, wagon        ,Diesel,Automatic,2011,2.0,125,296000,6750
Citroen C4 Picasso, mpv / minivan        ,Diesel,Automatic,2014,1.6,85,170000,6750
BMW 530, wagon        ,Diesel,Automatic,2008,3.0,173,323000,6750
Audi A5, coupe        ,Diesel,Automatic,2008,2.7,140,165000,6799
Skoda Octavia, wagon        ,Diesel,Manual,2014,wagon,77,240000,6800
Volvo XC90, suv / off-road        ,Diesel,Automatic,2007,2.4,136,246000,6800
Mercedes-Benz Vito, passenger vans        ,Diesel,Automatic,2009,2.2,110,200000,6800
Toyota Avensis, saloon / sedan        ,Diesel,Manual,2012,2.2,110,259230,6900
Audi A6, wagon        ,Diesel,Automatic,2009,3.0,176,305000,6900
Volvo V70, wagon        ,Diesel,Manual,2013,2.0,,254119,6900
Volkswagen Caravelle, mpv / minivan        ,Diesel,Manual,2006,2.5,96,272000,6900
Hyundai i40, saloon / sedan        ,Diesel,Manual,2012,1.7,100,108850,6950
Mazda 3, hatchback        ,Diesel,Manual,2013,2.2,110,117000,6950
Lexus RX 400h, suv / off-road        ,Petrol / electricity,Automatic,2006,3.3,199,190000,6950
Toyota Auris, hatchback        ,Petrol / electricity,Manual,2011,1.8,73,243000,6950
Volvo V60, hatchback        ,Diesel,Manual,2012,2.0,120,189000,6980
Ford S-MAX, mpv / minivan        ,Diesel,Manual,2011,2.0,103,152578,6984
Volvo V70, wagon        ,Diesel,Automatic,2010,2.4,151,255123,6990
Toyota Land Cruiser, suv / off-road        ,Diesel,Automatic,2000,4.2,150,390000,6999
Volkswagen Touran, mpv / minivan        ,Diesel,Manual,2012,2.0,103,255112,6999
Volvo XC90, suv / off-road        ,Diesel,Automatic,2009,2.4,136,200541,6999
Skoda Octavia, wagon        ,Diesel,Automatic,2016,1.6,81,206690,7000
Citroen C4 Picasso, mpv / minivan        ,Diesel,Manual,2014,2.0,110,195000,7000
Renault Megane, wagon        ,Diesel,Automatic,2017,1.5,81,192663,7160
Ford S-MAX, mpv / minivan        ,Diesel,Manual,2016,2.0,,250000,7200
Volvo XC60, suv / off-road        ,Petrol,Automatic,2010,3.0,210,380000,7200
Volvo V40, hatchback        ,Diesel,Manual,2013,1.6,84,249458,7290
Honda Civic, hatchback        ,Diesel,Manual,2015,1.6,88,243000,7290
Ford Fiesta, hatchback        ,Petrol,Manual,2017,1.0,74,40000,7300
Mitsubishi L200, pick-up        ,Diesel,Automatic,2007,2.5,,212000,7300
Volkswagen Polo, hatchback        ,Diesel,Automatic,2013,1.6,66,141200,7300
Hyundai Veloster, hatchback        ,Petrol,Manual,2014,1.6,137,58600,7300
BMW X1, hatchback        ,Diesel,Manual,2010,2.0,130,276000,7350
Hyundai ix35, suv / off-road        ,Diesel,Automatic,2010,2.0,135,186000,7350
Volvo V40, hatchback        ,Diesel,Manual,2014,1.6,85,188523,7390
Ford S-MAX, mpv / minivan        ,Diesel,Manual,2010,2.0,103,249321,7397
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2011,2.0,103,275344,7397
Mercedes-Benz E220, wagon        ,Diesel,Automatic,2010,2.2,125,200000,7450
Mercedes-Benz C220, wagon        ,Diesel,Automatic,2012,2.2,125,270000,7450
Nissan Leaf, hatchback        ,Electricity,Automatic,2015,hatchback,80,78800,7450
Toyota Land Cruiser, suv / off-road        ,Diesel,Manual,2003,3.0,120,354200,7499
Ford Transit Connect, commercial        ,Diesel,Manual,2017,1.5,74,231000,7500
Volkswagen Passat CC, coupe        ,Diesel,Manual,2011,2.0,103,287247,7500
Volvo V40, hatchback        ,Diesel,Manual,2013,1.6,84,275000,7500
Audi A4, wagon        ,Diesel,Manual,2011,2.7,140,198000,7550
Volvo V60, wagon        ,Diesel,Manual,2016,2.0,88,198000,7550
Peugeot 5008, mpv / minivan        ,Diesel,Manual,2016,1.6,88,183000,7550
Volkswagen Passat, wagon        ,Diesel,Automatic,2012,2.0,103,204000,7550
Renault Scenic, mpv / minivan        ,Diesel,Manual,2018,1.5,81,,7555
Opel Antara, suv / off-road        ,Diesel,Manual,2013,2.2,120,175142,7562
Ford S-MAX, mpv / minivan        ,Diesel,Manual,2012,2.2,147,198000,7600
Toyota Avensis, wagon        ,Diesel,Automatic,2012,2.2,110,158000,7600
Opel Crossland X, suv / off-road        ,Diesel,Manual,2018,1.6,77,167000,7600
Volkswagen Tiguan, suv / off-road        ,Petrol,Automatic,2009,suv,147,149000,7600
Skoda Octavia, wagon        ,Diesel,Automatic,2015,2.0,110,205000,7650
Volkswagen Touran, mpv / minivan        ,Diesel,Automatic,2013,1.6,77,257000,7690
Audi Q7, suv / off-road        ,Diesel,Automatic,2006,3.0,171,205483,7698
Audi A4, saloon / sedan        ,Diesel,Automatic,2008,3.0,176,240815,7699
Volvo XC60, suv / off-road        ,Diesel,Manual,2009,2.4,120,230000,7700
Audi A4, wagon        ,Diesel,Automatic,2011,2.0,105,140000,7750
Skoda Rapid, hatchback        ,Diesel,Manual,2015,1.6,85,133430,7756
Volkswagen Transporter, passenger vans        ,Diesel,Manual,2005,2.5,128,280000,7777
Volkswagen Passat CC, saloon / sedan        ,Diesel,Manual,2010,2.0,103,133000,7800
Volvo XC60, suv / off-road        ,Diesel,Manual,2009,2.4,120,299000,7800
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2011,2.0,103,265245,7810
Chevrolet Captiva, suv / off-road        ,Diesel,Automatic,2013,2.2,135,145298,7810
Kia Sorento, suv / off-road        ,Diesel,Manual,2011,2.0,110,169344,7810
Volkswagen Touareg, suv / off-road        ,Diesel,Automatic,2008,3.0,176,221000,7899
Volkswagen Touran, mpv / minivan        ,Diesel,Manual,2016,2.0,110,270000,7900
Toyota RAV4, suv / off-road        ,Petrol,Automatic,2010,2.0,116,157000,7950
Volkswagen Touran, mpv / minivan        ,Diesel,Manual,2016,2.0,110,270000,7900
Toyota RAV4, suv / off-road        ,Petrol,Automatic,2010,2.0,116,157000,7950
Citroen Grand C4 Picasso, mpv / minivan        ,Diesel,Manual,2014,1.6,84,171633,7990
Chevrolet Astro, passenger vans        ,Petrol,Automatic,1996,4.3,,57937,7999
Volkswagen Golf, wagon        ,Diesel,Automatic,2014,1.6,81,220000,7999
Opel Insignia, wagon        ,Diesel,Automatic,2013,2.0,143,153000,8000
Volvo V70, wagon        ,Diesel,Manual,2014,2.0,133,207000,8000
BMW 520, wagon        ,Diesel,Manual,2011,2.0,135,250000,8000
BMW 335, saloon / sedan        ,Petrol,Manual,2009,3.0,225,165000,8000
Volkswagen Tiguan, suv / off-road        ,Diesel,Automatic,2008,2.0,103,228000,8150
Skoda Octavia, hatchback        ,Diesel,Manual,2017,1.6,85,121500,8181
Kia Sportage, suv / off-road        ,Diesel,Manual,2012,2.0,100,230000,8200
Citroen Jumpy, commercial        ,Diesel,Manual,2016,1.6,85,186000,8222
Mercedes-Benz E350, coupe        ,Diesel,Automatic,2013,3.0,195,110000,8222
Volvo XC60, suv / off-road        ,Diesel,Manual,2009,2.4,151,256000,8244
Seat Leon, hatchback        ,Petrol,Automatic,2016,1.2,81,123700,8256
Opel Mokka, suv / off-road        ,Diesel,Manual,2015,1.6,100,124000,8300
Mercedes-Benz S320, saloon / sedan        ,Diesel,Automatic,2007,3.0,173,243672,8300
BMW 318, saloon / sedan        ,Diesel,Automatic,2011,saloon,105,206840,8300
Volvo V60, wagon        ,Diesel,Manual,2017,2.0,88,176278,8350
Audi A6, wagon        ,Diesel,Automatic,2010,3.0,176,245000,8350
Mini One, hatchback        ,Diesel,Manual,2016,1.5,70,172630,8356
Volkswagen Golf, wagon        ,Diesel,Manual,2014,1.6,77,232000,8400
Toyota Corolla, saloon / sedan        ,Diesel,Manual,2016,1.4,66,205600,8400
Volkswagen Sharan, mpv / minivan        ,Diesel,Automatic,2012,2.0,103,268084,8400
BMW 320, saloon / sedan        ,Diesel,Automatic,2013,2.0,135,296475,8430
Volvo XC70, wagon        ,Diesel,Manual,2012,2.0,120,228000,8450
Volkswagen Passat, wagon        ,Diesel,Manual,2014,2.0,130,244124,8450
Volkswagen Golf, wagon        ,Diesel,Automatic,2017,1.6,85,174550,8456
Volvo S80, saloon / sedan        ,Diesel,Automatic,2011,2.4,151,165879,8500
Audi A4, wagon        ,Diesel,Automatic,2013,2.0,105,240000,8500
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2015,2.0,103,240000,8550
Volkswagen Jetta, saloon / sedan        ,Diesel,Automatic,2016,2.0,81,145000,8599
Audi A4, saloon / sedan        ,Petrol,Automatic,2012,2.0,218,169500,8600
Skoda Yeti, suv / off-road        ,Petrol,Manual,2014,1.2,77,99620,8700
Toyota RAV4, suv / off-road        ,Petrol,Automatic,2010,2.0,116,96600,8700
Hyundai Santa Fe, suv / off-road        ,Diesel,Automatic,2012,2.2,145,214700,8700
Audi A3, hatchback        ,Diesel,Automatic,2013,2.0,110,202200,8750
Nissan X-Trail, suv / off-road        ,Diesel,Manual,2012,2.0,110,279000,8770
Volvo V70, wagon        ,Diesel,Automatic,2016,2.0,88,200000,8800
Hyundai i30, hatchback        ,Petrol,Manual,2015,1.4,74,95000,8800
Volkswagen Tiguan, suv / off-road        ,Petrol,Manual,2013,1.4,118,212000,8800
Audi Q7, suv / off-road        ,Diesel,Automatic,2008,3.0,176,248640,8850
Volkswagen Golf, wagon        ,Diesel,Automatic,2016,2.0,110,187230,8856
Mini Countryman, hatchback        ,Diesel,Manual,2015,1.6,82,136112,8900
Volkswagen Jetta, saloon / sedan        ,Petrol,Automatic,2015,1.4,92,103130,8956
Volkswagen Jetta, saloon / sedan        ,Diesel,Automatic,2015,2.0,81,139000,8956
BMW 320, wagon        ,Diesel,Automatic,2013,2.0,100,300000,8990
Ford Explorer, suv / off-road        ,Petrol,Automatic,2018,3.5,216,31800,8995
Nissan Juke, suv / off-road        ,Petrol,Automatic,2014,1.6,,35000,8995
BMW X5, suv / off-road        ,Diesel,Automatic,2008,3.0,173,251000,8999
Honda CR-V, suv / off-road        ,Diesel,Manual,2013,2.2,110,201456,8999
Audi A4, wagon        ,Diesel,Manual,2011,2.0,105,184500,9000
Renault Master, commercial        ,Diesel,Manual,2014,2.3,92,144000,9000
Lexus CT 200h, hatchback        ,Petrol / electricity,Automatic,2011,hatchback,73,125000,9000
BMW X1, suv / off-road        ,Diesel,Manual,2013,2.0,100,230149,9050
Skoda Octavia, wagon        ,Diesel,Manual,2017,1.6,85,169800,9090
Skoda Octavia, wagon        ,Diesel,Automatic,2017,1.6,85,159620,9090
Audi Q5, suv / off-road        ,Diesel,Automatic,2010,2.0,125,220000,9100
Opel Zafira tourer, mpv / minivan        ,Diesel,Manual,2017,2.0,,170000,9100
Chrysler 300C, saloon / sedan        ,Petrol / LPG,Automatic,2011,3.6,218,199000,9100
Opel Astra, wagon        ,Diesel,Manual,2016,1.6,81,143877,9150
Volvo V70, wagon        ,Diesel,Manual,2014,2.0,100,270000,9170
BMW 520, wagon        ,Diesel,Automatic,2011,2.0,135,300000,9190
Renault Captur, suv / off-road        ,Petrol,Automatic,2014,1.2,88,68000,9200
Volkswagen Tiguan, suv / off-road        ,Diesel,Automatic,2011,2.0,103,219000,9200
Toyota Corolla, saloon / sedan        ,Petrol,Manual,2014,1.6,97,71400,9300
Kia Sportage, suv / off-road        ,Diesel,Automatic,2013,2.0,100,230000,9300
Audi Q5, suv / off-road        ,Petrol,Automatic,2010,3.2,199,161000,9350
Volvo V40, hatchback        ,Diesel,Manual,2015,2.0,88,215000,9390
Skoda Octavia, wagon        ,Diesel,Automatic,2017,1.6,85,179950,9420
Ford Grand C-MAX, mpv / minivan        ,Diesel,Manual,2016,1.5,88,183349,9480
Kia Picanto, hatchback        ,Petrol,Manual,2019,1.3,62,1894,9490
Volkswagen Sharan, mpv / minivan        ,Diesel,Automatic,2011,2.0,125,180454,9500
Volkswagen Jetta, saloon / sedan        ,Petrol,Automatic,2015,1.4,92,145000,9500
Ford Grand C-MAX, mpv / minivan        ,Diesel,Manual,2016,1.5,88,,9650
Opel Astra, wagon        ,Diesel,Automatic,2017,1.6,100,167490,9700
Nissan X-Trail, suv / off-road        ,Diesel,Automatic,2014,1.6,96,200000,9700
Volvo XC70, mpv / minivan        ,Diesel,Automatic,2012,2.4,,,9700
Volvo V40, hatchback        ,Diesel,Manual,2015,2.0,88,183000,9750
Audi A5 SPORTBACK, hatchback        ,Diesel,Manual,2010,2.0,125,166000,9750
Nissan Murano, suv / off-road        ,Diesel,Automatic,2013,2.5,140,232000,9750
BMW X5, suv / off-road        ,Diesel,Automatic,2007,3.0,173,212000,9800
Volvo XC60, suv / off-road        ,Diesel,Manual,2010,2.4,129,194000,9850
Nissan Murano, suv / off-road        ,Diesel,Automatic,2013,2.5,140,228301,9850
Volkswagen Touran, mpv / minivan        ,Diesel,Manual,2017,1.6,85,216177,9856
BMW X3, suv / off-road        ,Diesel,Automatic,2011,2.0,135,240000,9900
Lexus LS 460, limousine        ,Petrol,Automatic,2010,4.6,230,254000,9900
Skoda Octavia, hatchback        ,Diesel,Manual,2017,2.0,110,165761,9920
Mercedes-Benz R350, mpv / minivan        ,Diesel,Automatic,2012,3.5,195,255000,9950
Audi A6, wagon        ,Diesel,Manual,2012,2.0,130,245000,9950
